GeneSet,Gene
hallmark_allograft_rejection,9607
hallmark_allograft_rejection,6356
hallmark_allograft_rejection,6357
hallmark_allograft_rejection,6363
hallmark_allograft_rejection,6347
hallmark_allograft_rejection,6367
hallmark_allograft_rejection,6351
hallmark_allograft_rejection,6352
hallmark_allograft_rejection,6354
hallmark_allograft_rejection,894
hallmark_allograft_rejection,896
hallmark_allograft_rejection,1230
hallmark_allograft_rejection,729230
hallmark_allograft_rejection,1234
hallmark_allograft_rejection,912
hallmark_allograft_rejection,914
hallmark_allograft_rejection,919
hallmark_allograft_rejection,940
hallmark_allograft_rejection,915
hallmark_allograft_rejection,916
hallmark_allograft_rejection,917
hallmark_allograft_rejection,920
hallmark_allograft_rejection,958
hallmark_allograft_rejection,959
hallmark_allograft_rejection,961
hallmark_allograft_rejection,924
hallmark_allograft_rejection,972
hallmark_allograft_rejection,973
hallmark_allograft_rejection,941
hallmark_allograft_rejection,942
hallmark_allograft_rejection,925
hallmark_allograft_rejection,926
hallmark_allograft_rejection,10225
hallmark_allograft_rejection,1029
hallmark_allograft_rejection,5199
hallmark_allograft_rejection,56253
hallmark_allograft_rejection,1435
hallmark_allograft_rejection,1445
hallmark_allograft_rejection,1520
hallmark_allograft_rejection,10563
hallmark_allograft_rejection,4283
hallmark_allograft_rejection,2833
hallmark_allograft_rejection,1615
hallmark_allograft_rejection,8560
hallmark_allograft_rejection,8444
hallmark_allograft_rejection,1956
hallmark_allograft_rejection,8661
hallmark_allograft_rejection,8664
hallmark_allograft_rejection,8669
hallmark_allograft_rejection,8672
hallmark_allograft_rejection,1984
hallmark_allograft_rejection,1991
hallmark_allograft_rejection,2000
hallmark_allograft_rejection,2069
hallmark_allograft_rejection,2113
hallmark_allograft_rejection,2147
hallmark_allograft_rejection,2149
hallmark_allograft_rejection,355
hallmark_allograft_rejection,356
hallmark_allograft_rejection,2213
hallmark_allograft_rejection,2268
hallmark_allograft_rejection,2316
hallmark_allograft_rejection,2533
hallmark_allograft_rejection,2589
hallmark_allograft_rejection,2634
hallmark_allograft_rejection,2650
hallmark_allograft_rejection,11146
hallmark_allograft_rejection,8477
hallmark_allograft_rejection,3001
hallmark_allograft_rejection,3002
hallmark_allograft_rejection,3059
hallmark_allograft_rejection,9734
hallmark_allograft_rejection,3091
hallmark_allograft_rejection,3105
hallmark_allograft_rejection,3108
hallmark_allograft_rejection,3109
hallmark_allograft_rejection,3111
hallmark_allograft_rejection,3112
hallmark_allograft_rejection,3117
hallmark_allograft_rejection,3122
hallmark_allograft_rejection,3133
hallmark_allograft_rejection,3135
hallmark_allograft_rejection,3383
hallmark_allograft_rejection,23308
hallmark_allograft_rejection,3455
hallmark_allograft_rejection,3458
hallmark_allograft_rejection,3459
hallmark_allograft_rejection,3460
hallmark_allograft_rejection,10261
hallmark_allograft_rejection,3551
hallmark_allograft_rejection,3586
hallmark_allograft_rejection,3589
hallmark_allograft_rejection,3592
hallmark_allograft_rejection,3593
hallmark_allograft_rejection,3594
hallmark_allograft_rejection,3596
hallmark_allograft_rejection,3600
hallmark_allograft_rejection,3603
hallmark_allograft_rejection,3606
hallmark_allograft_rejection,8807
hallmark_allograft_rejection,3553
hallmark_allograft_rejection,3558
hallmark_allograft_rejection,9466
hallmark_allograft_rejection,3559
hallmark_allograft_rejection,3560
hallmark_allograft_rejection,3561
hallmark_allograft_rejection,3565
hallmark_allograft_rejection,3566
hallmark_allograft_rejection,3569
hallmark_allograft_rejection,3574
hallmark_allograft_rejection,3578
hallmark_allograft_rejection,3624
hallmark_allograft_rejection,3625
hallmark_allograft_rejection,3662
hallmark_allograft_rejection,3665
hallmark_allograft_rejection,3394
hallmark_allograft_rejection,3683
hallmark_allograft_rejection,3689
hallmark_allograft_rejection,3702
hallmark_allograft_rejection,3717
hallmark_allograft_rejection,3824
hallmark_allograft_rejection,3848
hallmark_allograft_rejection,3932
hallmark_allograft_rejection,3937
hallmark_allograft_rejection,3976
hallmark_allograft_rejection,4050
hallmark_allograft_rejection,4065
hallmark_allograft_rejection,9450
hallmark_allograft_rejection,4067
hallmark_allograft_rejection,6885
hallmark_allograft_rejection,11184
hallmark_allograft_rejection,4153
hallmark_allograft_rejection,4318
hallmark_allograft_rejection,11222
hallmark_allograft_rejection,4528
hallmark_allograft_rejection,4689
hallmark_allograft_rejection,4690
hallmark_allograft_rejection,9437
hallmark_allograft_rejection,114548
hallmark_allograft_rejection,4830
hallmark_allograft_rejection,4843
hallmark_allograft_rejection,4869
hallmark_allograft_rejection,5196
hallmark_allograft_rejection,5551
hallmark_allograft_rejection,5579
hallmark_allograft_rejection,5582
hallmark_allograft_rejection,5699
hallmark_allograft_rejection,5777
hallmark_allograft_rejection,5788
hallmark_allograft_rejection,5917
hallmark_allograft_rejection,8767
hallmark_allograft_rejection,6170
hallmark_allograft_rejection,6123
hallmark_allograft_rejection,6133
hallmark_allograft_rejection,6223
hallmark_allograft_rejection,6189
hallmark_allograft_rejection,6203
hallmark_allograft_rejection,27240
hallmark_allograft_rejection,8651
hallmark_allograft_rejection,9655
hallmark_allograft_rejection,6688
hallmark_allograft_rejection,5552
hallmark_allograft_rejection,7903
hallmark_allograft_rejection,23166
hallmark_allograft_rejection,6772
hallmark_allograft_rejection,6775
hallmark_allograft_rejection,6890
hallmark_allograft_rejection,6891
hallmark_allograft_rejection,6892
hallmark_allograft_rejection,7040
hallmark_allograft_rejection,7042
hallmark_allograft_rejection,7070
hallmark_allograft_rejection,7076
hallmark_allograft_rejection,7096
hallmark_allograft_rejection,7097
hallmark_allograft_rejection,7098
hallmark_allograft_rejection,10333
hallmark_allograft_rejection,7124
